nome,sigla,tipo,abrangencia,pais,continente,organizacao,divisao,genero,primeira_edicao,periodicidade,status
Primera División Uruguaya,Uruguayo,clubes,pais,Uruguai,América do Sul,AUF,1,masculino,1900,Anual,Ativa
Campeonato Chileno Primera División,Chile 1,clubes,pais,Chile,América do Sul,ANFP,1,masculino,1933,Anual,Ativa
Categoría Primera A,Liga COL,clubes,pais,Colômbia,América do Sul,FCF,1,masculino,1948,Anual,Ativa
Premier League,EPL,clubes,pais,Inglaterra,Europa,FA,1,masculino,1992,Anual,Ativa
FA Cup,FA Cup,clubes,pais,Inglaterra,Europa,FA,1,masculino,1871,Anual,Ativa
EFL Cup,League Cup,clubes,pais,Inglaterra,Europa,EFL,1,masculino,1960,Anual,Ativa
La Liga,LaLiga,clubes,pais,Espanha,Europa,RFEF,1,masculino,1929,Anual,Ativa
Copa del Rey,CDR,clubes,pais,Espanha,Europa,RFEF,1,masculino,1903,Anual,Ativa
Serie A,Serie A,clubes,pais,Itália,Europa,FIGC,1,masculino,1898,Anual,Ativa
Coppa Italia,Coppa,clubes,pais,Itália,Europa,FIGC,1,masculino,1922,Anual,Ativa
Bundesliga,Bundesliga,clubes,pais,Alemanha,Europa,DFB,1,masculino,1963,Anual,Ativa
DFB-Pokal,DFB Pokal,clubes,pais,Alemanha,Europa,DFB,1,masculino,1935,Anual,Ativa
Ligue 1,Ligue 1,clubes,pais,França,Europa,FFF,1,masculino,1932,Anual,Ativa
Coupe de France,CDF,clubes,pais,França,Europa,FFF,1,masculino,1917,Anual,Ativa
Primeira Liga,Liga Portugal,clubes,pais,Portugal,Europa,FPF,1,masculino,1934,Anual,Ativa
Taça de Portugal,Taça,clubes,pais,Portugal,Europa,FPF,1,masculino,1938,Anual,Ativa
Eredivisie,Eredivisie,clubes,pais,Países Baixos,Europa,KNVB,1,masculino,1956,Anual,Ativa
Süper Lig,Super Lig,clubes,pais,Turquia,Europa,TFF,1,masculino,1959,Anual,Ativa
Liga MX,Liga MX,clubes,pais,México,América do Norte,FMF,1,masculino,1943,Anual,Ativa
Major League Soccer,MLS,clubes,pais,Estados Unidos,América do Norte,USSF,1,masculino,1996,Anual,Ativa
Canadian Championship,CAN Champ,clubes,pais,Canadá,América do Norte,CSA,1,masculino,2008,Anual,Ativa
J1 League,J1,clubes,pais,Japão,Ásia,JFA,1,masculino,1993,Anual,Ativa
K League 1,K1,clubes,pais,Coreia do Sul,Ásia,KFA,1,masculino,1983,Anual,Ativa
Saudi Pro League,SPL,clubes,pais,Arábia Saudita,Ásia,SAFF,1,masculino,1976,Anual,Ativa
Egyptian Premier League,Egypt PL,clubes,pais,Egito,África,EFA,1,masculino,1948,Anual,Ativa
Botola Pro,Botola,clubes,pais,Marrocos,África,FRMF,1,masculino,1956,Anual,Ativa
A-League Men,ALM,clubes,pais,Austrália,Oceania,FFA,1,masculino,2005,Anual,Ativa
