nome,nome_curto,pais,continente,cidade,estado,fundacao,estadio,liga_principal,cores
Sport Recife,Sport,Brasil,América do Sul,Recife,PE,1905,Ilha do Retiro,Campeonato Brasileiro Série B,vermelho e preto
Boca Juniors,Boca,Argentina,América do Sul,Buenos Aires,,1905,La Bombonera,Primera División Argentina,azul e amarelo
River Plate,River,Argentina,América do Sul,Buenos Aires,,1901,Monumental,Primera División Argentina,branco e vermelho
Independiente,Independiente,Argentina,América do Sul,Avellaneda,,1905,Libertadores de América,Primera División Argentina,vermelho
Racing Club,Racing,Argentina,América do Sul,Avellaneda,,1903,El Cilindro,Primera División Argentina,azul e branco
San Lorenzo,San Lorenzo,Argentina,América do Sul,Buenos Aires,,1908,Pedro Bidegain,Primera División Argentina,azul e grená
Peñarol,Peñarol,Uruguai,América do Sul,Montevidéu,,1891,Campeón del Siglo,Primera División Uruguaya,amarelo e preto
Nacional,Nacional,Uruguai,América do Sul,Montevidéu,,1899,Gran Parque Central,Primera División Uruguaya,"branco, azul e vermelho"
Colo-Colo,Colo-Colo,Chile,América do Sul,Santiago,,1925,Monumental David Arellano,Campeonato Chileno Primera División,branco e preto
Universidad de Chile,U. de Chile,Chile,América do Sul,Santiago,,1927,Nacional Julio Martínez Prádanos,Campeonato Chileno Primera División,azul
Atlético Nacional,Atlético Nacional,Colômbia,América do Sul,Medellín,,1947,Atanasio Girardot,Categoría Primera A,verde e branco
Millonarios,Millonarios,Colômbia,América do Sul,Bogotá,,1946,El Campín,Categoría Primera A,azul e branco
Real Madrid,Real Madrid,Espanha,Europa,Madrid,,1902,Santiago Bernabéu,La Liga,branco
Barcelona,Barcelona,Espanha,Europa,Barcelona,,1899,Camp Nou,La Liga,azul e grená
Atlético de Madrid,Atlético,Espanha,Europa,Madrid,,1903,Metropolitano,La Liga,"vermelho, branco e azul"
Sevilla,Sevilla,Espanha,Europa,Sevilha,,1890,Ramón Sánchez Pizjuán,La Liga,branco e vermelho
Manchester United,Man United,Inglaterra,Europa,Manchester,,1878,Old Trafford,Premier League,vermelho
Liverpool,Liverpool,Inglaterra,Europa,Liverpool,,1892,Anfield,Premier League,vermelho
Arsenal,Arsenal,Inglaterra,Europa,Londres,,1886,Emirates Stadium,Premier League,vermelho e branco
Chelsea,Chelsea,Inglaterra,Europa,Londres,,1905,Stamford Bridge,Premier League,azul
Manchester City,Man City,Inglaterra,Europa,Manchester,,1880,Etihad Stadium,Premier League,azul claro
Tottenham Hotspur,Tottenham,Inglaterra,Europa,Londres,,1882,Tottenham Hotspur Stadium,Premier League,branco e azul
Juventus,Juventus,Itália,Europa,Turim,,1897,Allianz Stadium,Serie A,preto e branco
Milan,Milan,Itália,Europa,Milão,,1899,San Siro,Serie A,vermelho e preto
Internazionale,Inter,Itália,Europa,Milão,,1908,San Siro,Serie A,azul e preto
Napoli,Napoli,Itália,Europa,Nápoles,,1926,Diego Armando Maradona,Serie A,azul
Roma,Roma,Itália,Europa,Roma,,1927,Olímpico de Roma,Serie A,grená e amarelo
Bayern de Munique,Bayern,Alemanha,Europa,Munique,,1900,Allianz Arena,Bundesliga,vermelho e branco
Borussia Dortmund,Dortmund,Alemanha,Europa,Dortmund,,1909,Signal Iduna Park,Bundesliga,amarelo e preto
Bayer Leverkusen,Leverkusen,Alemanha,Europa,Leverkusen,,1904,BayArena,Bundesliga,vermelho e preto
Paris Saint-Germain,PSG,França,Europa,Paris,,1970,Parc des Princes,Ligue 1,"azul, vermelho e branco"
Olympique de Marseille,Marseille,França,Europa,Marselha,,1899,Vélodrome,Ligue 1,azul e branco
Lyon,Lyon,França,Europa,Lyon,,1950,Groupama Stadium,Ligue 1,"branco, azul e vermelho"
Benfica,Benfica,Portugal,Europa,Lisboa,,1904,Estádio da Luz,Primeira Liga,vermelho e branco
Porto,Porto,Portugal,Europa,Porto,,1893,Estádio do Dragão,Primeira Liga,azul e branco
Sporting CP,Sporting,Portugal,Europa,Lisboa,,1906,José Alvalade,Primeira Liga,verde e branco
Ajax,Ajax,Países Baixos,Europa,Amsterdã,,1900,Johan Cruyff Arena,Eredivisie,branco e vermelho
PSV Eindhoven,PSV,Países Baixos,Europa,Eindhoven,,1913,Philips Stadion,Eredivisie,vermelho e branco
Feyenoord,Feyenoord,Países Baixos,Europa,Roterdã,,1908,De Kuip,Eredivisie,vermelho e branco
Club América,América,México,América do Norte,Cidade do México,,1916,Estadio Azteca,Liga MX,amarelo e azul
Chivas Guadalajara,Chivas,México,América do Norte,Guadalajara,,1906,Estadio Akron,Liga MX,"vermelho, branco e azul"
Cruz Azul,Cruz Azul,México,América do Norte,Cidade do México,,1927,Estadio Ciudad de los Deportes,Liga MX,azul
Tigres UANL,Tigres,México,América do Norte,San Nicolás de los Garza,,1960,Estadio Universitario,Liga MX,amarelo e azul
LA Galaxy,LA Galaxy,Estados Unidos,América do Norte,Los Angeles,CA,1994,Dignity Health Sports Park,Major League Soccer,branco e azul
Inter Miami,Inter Miami,Estados Unidos,América do Norte,Fort Lauderdale,FL,2018,Chase Stadium,Major League Soccer,rosa e preto
Seattle Sounders,Sounders,Estados Unidos,América do Norte,Seattle,WA,2007,Lumen Field,Major League Soccer,verde e azul
Al Ahly,Al Ahly,Egito,África,Cairo,,1907,Cairo International Stadium,Egyptian Premier League,vermelho
Zamalek,Zamalek,Egito,África,Cairo,,1911,Cairo International Stadium,Egyptian Premier League,branco
Wydad Casablanca,Wydad,Marrocos,África,Casablanca,,1937,Mohammed V,Botola Pro,vermelho
Raja Casablanca,Raja,Marrocos,África,Casablanca,,1949,Mohammed V,Botola Pro,verde e branco
Mamelodi Sundowns,Sundowns,África do Sul,África,Pretória,,1970,Loftus Versfeld,South African Premiership,amarelo e azul
Al Hilal,Al Hilal,Arábia Saudita,Ásia,Riad,,1957,Kingdom Arena,Saudi Pro League,azul
Al Nassr,Al Nassr,Arábia Saudita,Ásia,Riad,,1955,Al-Awwal Park,Saudi Pro League,amarelo e azul
Urawa Red Diamonds,Urawa Reds,Japão,Ásia,Saitama,,1950,Saitama Stadium,J1 League,vermelho
Kashima Antlers,Kashima,Japão,Ásia,Kashima,,1947,Kashima Soccer Stadium,J1 League,vermelho
Jeonbuk Hyundai Motors,Jeonbuk,Coreia do Sul,Ásia,Jeonju,,1994,Jeonju World Cup Stadium,K League 1,verde
Auckland City,Auckland City,Nova Zelândia,Oceania,Auckland,,2004,Kiwitea Street,New Zealand National League,azul
Wellington Phoenix,Wellington,Nova Zelândia,Oceania,Wellington,,2007,Sky Stadium,A-League Men,amarelo e preto
Sydney FC,Sydney,Austrália,Oceania,Sydney,,2004,Allianz Stadium,A-League Men,azul claro
Melbourne Victory,Melbourne Victory,Austrália,Oceania,Melbourne,,2004,AAMI Park,A-League Men,azul
